UNITID,STAT_IC,LOCK_IC,IMP_IC,STAT_C,LOCK_C,PRCH_C,IDX_C,PCC_F,IMP_C,RE_C,STAT_E12,LOCK_E12,PRCH_E12,IDX_E12,PCE12_F,IMP_E12,RE_E12,STAT_HR,LOCK_HR,PRCH_HR,IDX_HR,PCHR_F,IMP_HR,FTEMP15,SA_EXCL,STAT_EAP,STAT_SA,STAT_S,STAT_EF,LOCK_EF,PRCH_EF,IDX_EF,PCEF_F,IMP_EF,PTA99_EF,PTACIPEF,PTB_EF,PTC_EF,PTD_EF,FYRPYEAR,FORM_F,STAT_F,LOCK_F,PRCH_F,IDX_F,PCF_F,IMP_F,FYBEG,FYEND,GPFS,F1GASBAL,F2PELL,F_ATHLTC,STAT_SFA,LOCK_SFA,PRCH_SFA,IDX_SFA,PCSFA_F,IMP_SFA,STAT_GR,LOCK_GR,PRCH_GR,IDX_GR,PCGR_F,IMP_GR,COHRTSTU,LONGPGM,HASGRURL,GRDISURL,STAT_GR2,LOCK_GR2,PRCH_GR2,IDX_GR2,IMP_GR2,RE_GR,NTRLDSTR,REV_IC,REV_C,REV_E12,REV_SFA,REV_HR,REV_EF,REV_F,PCF_F_RV,REV_GR,REV_GR2 
100636,1,8,-2,1,8,-2,-2,.,-2,2,5,0,-2,-2,.,-2,-1,5,0,-2,-2,.,-2,-1,-1,5,5,5,5,0,-2,-2,.,-2,5,-2,5,5,5,-1,-1,5,0,-2,-2,.,-2,"-1","-1",-1,-1,-2,-1,-2,-2,-2,-2,.,-2,5,0,-2,-2,.,-2,-1,-1,-2," ",-2,-2,-2,-2,-2,-1,0,0,0,0,-2,0,0,0,.,0,-2
100654,1,8,-2,1,8,-2,-2,.,-2,2,1,8,-2,-2,.,-2,2,1,8,-2,-2,.,-2,1,2,1,1,5,1,8,-2,-2,.,-2,1,1,5,1,1,1,4,1,8,-2,-2,.,-2,"102009","092010",3,3,-2,2,1,8,-2,-2,.,-2,1,8,-2,-2,.,-2,1,2,1,"http://fs.ncaa.org/Docs/newmedia/public/rates/index.html",1,8,-2,-2,-2,2,0,0,0,0,0,0,0,0,.,0,0
100663,1,8,-2,1,8,-2,-2,.,-2,1,1,8,-2,-2,.,-2,2,1,8,-2,-2,.,-2,1,2,1,1,1,1,8,-2,-2,.,-2,1,1,1,1,1,2,4,1,8,-2,-2,.,-2,"102009","092010",1,1,-2,1,1,8,-2,-2,.,-2,1,8,-2,-2,.,-2,1,2,1,"http://web1.ncaa.org/app_data/nH8egsr2009/9.pdf",1,8,-2,-2,-2,2,0,0,1,0,0,0,0,0,.,0,0
100690,1,8,-2,1,8,-2,-2,.,-2,2,1,8,-2,-2,.,-2,2,1,8,-2,-2,.,-2,1,2,1,1,5,1,8,-2,-2,.,-2,1,1,5,1,1,2,2,1,8,-2,-2,.,-2,"072009","062010",1,-2,1,3,1,8,-2,-2,.,-2,1,8,-2,-2,.,-2,1,2,2," ",1,8,-2,-2,-2,2,0,0,0,0,0,0,0,0,.,0,0
100706,1,8,-2,1,8,-2,-2,.,-2,1,1,8,-2,-2,.,-2,1,1,8,-2,-2,.,-2,1,2,1,1,1,1,8,-2,-2,.,-2,1,1,1,1,1,1,4,1,8,-2,-2,.,-2,"102009","092010",1,1,-2,2,1,8,-2,-2,.,-2,1,8,-2,-2,.,-2,1,2,1,"www.uahchargers.com/index.php?option=com_content&task=blogsection&id=8&Itemid=30",1,8,-2,-2,-2,2,0,0,0,0,0,0,0,0,.,0,0
100724,1,8,-2,1,8,-2,-2,.,-2,1,1,8,-2,-2,.,-2,1,1,8,-2,-2,.,-2,1,2,1,1,1,1,8,-2,-2,.,-2,1,1,5,1,1,2,4,1,8,-2,-2,.,-2,"102009","092010",1,1,-2,2,1,8,-2,-2,.,-2,1,8,-2,-2,.,-2,1,1,1,"www.alasu.edu",1,8,-2,-2,-2,2,0,0,0,0,0,0,0,0,.,0,0
100733,1,8,-2,-2,-2,-2,-2,.,-2,-2,-2,-2,-2,-2,.,-2,-2,1,8,-2,-2,.,-2,1,-2,1,-2,1,-2,-2,-2,-2,.,-2,-2,-2,-2,-2,-2,-2,4,1,8,-2,-2,.,-2,"102009","092010",3,1,-2,3,-2,-2,-2,-2,.,-2,-2,-2,-2,-2,.,-2,-2,-2,-2," ",-2,-2,-2,-2,-2,-2,0,0,-2,-2,-2,0,-2,0,.,-2,-2
100751,1,8,-2,1,8,-2,-2,.,-2,2,1,8,-2,-2,.,-2,2,1,8,-2,-2,.,-2,1,2,1,1,1,1,8,-2,-2,.,-2,1,1,1,1,1,2,4,1,8,-2,-2,.,-2,"102009","092010",1,3,-2,1,1,8,-2,-2,.,-2,1,8,-2,-2,.,-2,1,2,1,"http://registrar.ua.edu/policies/right-to-know",1,8,-2,-2,-2,2,0,0,0,0,0,0,0,1,.,0,0
100760,1,8,-2,1,8,-2,-2,.,-2,1,1,8,-2,-2,.,-2,1,1,8,-2,-2,.,-2,1,2,1,1,1,1,8,-2,-2,.,-2,1,-2,1,1,1,1,4,1,8,-2,-2,.,-2,"102009","092010",1,1,-2,2,1,8,-2,-2,.,-2,1,8,-2,-2,.,-2,1,2,1,"cacc.edu",1,8,-2,-2,-2,2,0,0,1,0,0,0,0,0,.,0,0
100812,1,8,-2,1,8,-2,-2,.,-2,1,1,8,-2,-2,.,-2,1,1,8,-2,-2,.,-2,1,2,1,1,1,1,8,-2,-2,.,-2,1,1,1,-2,-2,2,4,1,8,-2,-2,.,-2,"102009","092010",3,1,-2,3,1,8,-2,-2,.,-2,-2,-2,-2,-2,.,-2,2,-2,-2," ",-2,-2,-2,-2,-2,-2,0,0,1,1,0,0,0,0,.,-2,-2
